text,true_label,baseline_pred,stacked_pred,transformer_pred
Appreciate being included along with @wphillips49 on the Uvalde gunman’s history of cyber gender harassment. Regrettably unshocking. @UVALaw https://t.co/gg1UwHYdIf,-,REPORTED,REPORTED,REPORTED
Dear @starwars fans Can we not harass talented actors of color? Stop being racist douche nozzles. This is why we can't have nice things. Moses is a badass inquisitor and y'all can't handle her badassary. https://t.co/bczGdn6evx,JUDGEMENTAL,DIRECT,DIRECT,-
@BoopBepp @Helloth07860784 @Bronwen85 Yup I hate when men rape and kill women. https://t.co/MyfVPu6THd,-,REPORTED,REPORTED,REPORTED
Calls to clean up Parliament's laddish culture after MP's porn shame https://t.co/3AC2ArWrjF via https://t.co/LiNou8Ixhu,REPORTED,DIRECT,DIRECT,-
@Girlw0ndr I like that a woman acting like a lady thank you,-,DIRECT,DIRECT,DIRECT
"It is hard to be a woman. You must think like a man, act like a lady, look like a young girl, and work like a horse.",REPORTED,DIRECT,DIRECT,DIRECT
Mansplaining the concept of a pee drawer to my partner (who want me),DIRECT,-,-,-
Going weak rn... PLAYING THE GUITAR?!?!?! MANSPREADING!?!??!?! I AM ON MY KNEES https://t.co/yKABMDXGmg,DIRECT,-,-,-
@JunusAnna @DaphnaRedliner Why do you feel unsafe sharing a bathroom with a transwoman? Seems like some bigotry you need to unpack yourself. Not further marginalize an already marginalized group.,REPORTED,-,DIRECT,JUDGEMENTAL
"@KS_Heart_Mom @zacthebottlejac @sourpatchlyds It's probably more common then they say it is, because most women will either ignore it, or chalk it up to some hormonal or some PP thing. Some women will not even connect it and just stop breastfeeding.",JUDGEMENTAL,REPORTED,DIRECT,DIRECT
@ThetaTendies @TikTokInvestors most women nowadays look like this with no makeup. hard to find the good ones under ton of makeup.  always go on a date to the beach lol,DIRECT,-,-,-
@ShelleyKingsto3 @CNP_MacFarlane @CanadianinAB It's objectification &amp; dehumanizing. I saw someone take time out of their day to make a strong political point about Horwath 🙄(sarcasm) -- he Tweeted about how her photo looked like it had lots of photoshop. Such pathetic clowns.,REPORTED,DIRECT,DIRECT,-
"Going to sleep soon but Im so furious about what is happening to women’s right to autonomy over in the states now.. Some men where i am complain that feminism has become oppression of men, but i dont think they realize the real fear women live with.. wondering if some day we too",JUDGEMENTAL,DIRECT,-,REPORTED
"@elonmusk @Astro_Angry Why bother going to Mars if life there is just going to be more of the same toxic sexism, racism and bigotry - the same horrible oppression, unfairness and inequality - that makes Earth a living hell for so many?",REPORTED,DIRECT,-,-
"Galaxy brain concept: girl who transitions so she can wear menswear in a stylish, lesbicious sort of way that patriarchy doesn’t let men do https://t.co/wYIotXcAMP",JUDGEMENTAL,-,-,-
"@Mistywoman1 Have I missed something, or has phallocentrism become the latest cult?",JUDGEMENTAL,-,-,-
Fuck's sake is it possible to have a furry space that's not explicitly content-restricted and doesn't immediately become yet another showcase for size-queen phallocentrism?,JUDGEMENTAL,-,-,-
"Freud claims girls have a dicklet. The clitoris has phallic significance. Phallocentrism reduces even female genitalia to the Phallus. The other parts of the vagina, the clit, and more constitute the plurality of female sexuality. The clit coexists with non-phallic body parts.",JUDGEMENTAL,-,-,DIRECT
"@jakeshieldsajj Elon Musk was asked to comment on a sexual harassment story at 9am, asked for more time, and a couple hours later announces he's a Republican and they're going to attack him for saying soand you stupid motherfúckers ate that shit up with a spoon",-,REPORTED,DIRECT,JUDGEMENTAL
"@townhallcom I don’t care what gender, race, religion,sexual orientation a person is as long as they are qualified for that position. That being said, is she qualified based on experience/education or was she chosen solely because she is black and gay to please progressives/woke. Just saying.",DIRECT,-,-,-
@iitzkeisha I kinda get her point but a slag is too far off for me 😭 https://t.co/Vh0tq57Qc6,DIRECT,-,-,-
I’m just a pretty little freaky black slut who wants to be filled up with cum and treated like a princess 🥰 Look at the view 🥵  scenes from my first scat video :) #nsfwtwt #blonde #babygirl #creamyebony #creamypussy #daddysgirl #horny #ebonyteen #slut #useme #dmme https://t.co/EVIBF3apqp,-,DIRECT,DIRECT,DIRECT
@therealjomartin What about young girls who want to buy guns? So we forcefully sodomize them as well? I am pretty positive rape is considered a heinous crime. Is anal rape now okay if a firearm is involved?,JUDGEMENTAL,REPORTED,REPORTED,REPORTED
"In movies and TV shows of the 1950s and 1960s, men would spank women who had gone astray or whatever, reminding us that all punishment must include a physical element as well.",JUDGEMENTAL,DIRECT,DIRECT,REPORTED
"Yesterday I learned about the Easter Whip (pomlázka) tradition practiced in Slovakia, where, on Easter Monday, men spank women and get paid for it.I have too many questions…",JUDGEMENTAL,REPORTED,DIRECT,REPORTED
