text,true_label,baseline_pred,stacked_pred,transformer_pred
@LogicalFallac18 @LBC Sex* as in 'gender' harassment is what they are inferring.,-,JUDGEMENTAL,JUDGEMENTAL,REPORTED
"@BBCYaldaHakim Kabul: Islamic Emirate of Afghanistan has announced the end of co-education in the country, citing ""gender harassment"".Female students will attend universities on Monday, Wednesday, and Saturday while Tuesday, Thursday, and Sunday are fixed for males.",REPORTED,JUDGEMENTAL,-,-
Appreciate being included along with @wphillips49 on the Uvalde gunman’s history of cyber gender harassment. Regrettably unshocking. @UVALaw https://t.co/gg1UwHYdIf,-,REPORTED,REPORTED,REPORTED
"""The violent antifeminism of a far-right movement that sees ♀️ principally as vessels for breeding a new white generation expresses itself in a fixation on a return to “traditional” gender roles""Worth every minute to read - take 5 min out of your Sun👇https://t.co/zkdWPpIlzZ",REPORTED,-,-,-
Isa hot girl summer now pop yall shit https://t.co/bU1bzAUuvr,-,DIRECT,DIRECT,DIRECT
@BoopBepp @Helloth07860784 @Bronwen85 Yup I hate when men rape and kill women. https://t.co/MyfVPu6THd,-,REPORTED,JUDGEMENTAL,REPORTED
Calls to clean up Parliament's laddish culture after MP's porn shame https://t.co/3AC2ArWrjF via https://t.co/LiNou8Ixhu,REPORTED,-,-,-
"It is hard to be a woman. You must think like a man, act like a lady, look like a young girl, and work like a horse.",REPORTED,DIRECT,DIRECT,DIRECT
@gokunaruto3000 Idk wtf you looking at 😂 one looks cgi the other looks like a woman painted green,-,DIRECT,DIRECT,DIRECT
@MosaicoDaemonic @heyitsnatalie00 @WhatIsAWomanBot The real woman are pissed that a man with a dick is dressing like a woman and then beating them in their sports lol. We are truly living in a fucked up time when men can literally dress like a woman and take away all women's accomplishments.,DIRECT,JUDGEMENTAL,JUDGEMENTAL,JUDGEMENTAL
Mansplaining the concept of a pee drawer to my partner (who want me),DIRECT,-,-,-
Going weak rn... PLAYING THE GUITAR?!?!?! MANSPREADING!?!??!?! I AM ON MY KNEES https://t.co/yKABMDXGmg,DIRECT,-,-,-
@JunusAnna @DaphnaRedliner Why do you feel unsafe sharing a bathroom with a transwoman? Seems like some bigotry you need to unpack yourself. Not further marginalize an already marginalized group.,REPORTED,-,-,JUDGEMENTAL
@duarteamanda Ya know…it’s crazy Roe v Wade initially started because a lie about black men. Here we are 50 years later we’re still catching strays because of what white men do to y’all. The black misandry is real no matter what party dems or republicans. https://t.co/VAmb4XDMLu,-,DIRECT,DIRECT,REPORTED
"@OgeOhanusi @Las_h_ley @A_Abby_Abi @jayythedope They aren't, because when a woman is financially stable she believes she doesn't need a man.",DIRECT,-,-,-
"@Coochie_Chariot female charas being flirty/sexy isnt always bad n i know digimon has always kinda had an objectification-of-women issue (most media does tbh?) but it seems to be nearly the ONLY way the game is interested in presenting women and it kinda sucks, esp since yea. the game IS good",REPORTED,-,-,DIRECT
@ShelleyKingsto3 @CNP_MacFarlane @CanadianinAB It's objectification &amp; dehumanizing. I saw someone take time out of their day to make a strong political point about Horwath 🙄(sarcasm) -- he Tweeted about how her photo looked like it had lots of photoshop. Such pathetic clowns.,REPORTED,DIRECT,DIRECT,-
"Going to sleep soon but Im so furious about what is happening to women’s right to autonomy over in the states now.. Some men where i am complain that feminism has become oppression of men, but i dont think they realize the real fear women live with.. wondering if some day we too",JUDGEMENTAL,-,-,REPORTED
"@elonmusk @Astro_Angry Why bother going to Mars if life there is just going to be more of the same toxic sexism, racism and bigotry - the same horrible oppression, unfairness and inequality - that makes Earth a living hell for so many?",REPORTED,-,-,-
"Galaxy brain concept: girl who transitions so she can wear menswear in a stylish, lesbicious sort of way that patriarchy doesn’t let men do https://t.co/wYIotXcAMP",JUDGEMENTAL,-,-,-
